Reservation_PK,ClientID_FK,Hotel_FK,Flight_FK,Localisation_FK,Temps_FK,Total_Prix,Status_Reservation,Méthode_Paiement,Note_Client
12902,2018268,0,163,0,1442,791,28999999999996,0,Virement bancaire,4
12903,2018269,0,133,0,1015,4791,29,1,PayPal,3
12904,2018270,0,133,0,1635,4788,1499999999996,-1,PayPal,1
12905,2018271,0,157,0,543,5596,8100000000004,0,Carte bancaire,2
12906,2018272,0,176,0,1398,2929,9200000000001,-1,Virement bancaire,1
12907,2018273,0,176,0,980,7250,79,0,PayPal,3
12908,2018274,0,163,0,730,2975,0900000000001,-1,Carte bancaire,1
12909,2018275,0,154,0,1563,1064,0699999999999,0,Virement bancaire,1
12910,2018276,0,154,0,725,6524,9700000000003,0,PayPal,5
12911,2018277,0,154,0,565,6726,71,0,Virement bancaire,5
12912,2018278,0,43,0,295,7355,1000000000004,1,PayPal,1
12913,2018279,0,154,0,963,7381,5200000000004,1,Espèces,4
12914,2018280,0,176,0,1051,4715,3000000000002,0,PayPal,2
12915,2018281,0,157,0,1057,235,46000000000001,0,Virement bancaire,4
12916,2018282,0,43,0,205,4192,9300000000003,-1,Virement bancaire,5
12917,2018283,0,158,0,523,1000,5,0,Espèces,1
12918,2018284,0,163,0,281,7069,4899999999998,0,PayPal,1
12919,2018285,0,155,0,150,1653,6400000000001,1,Carte bancaire,2
12920,2018286,0,157,0,1018,5718,6199999999999,0,Espèces,5
12921,2018287,0,157,0,246,7465,1599999999999,0,Espèces,5
12922,2017927,0,176,0,1722,6055,8199999999997,-1,PayPal,2
12923,2018288,0,43,0,397,3536,9200000000001,-1,PayPal,2
12924,2018289,0,176,0,304,6269,7399999999998,0,Virement bancaire,3
12925,2018290,0,133,0,841,2485,1900000000001,0,PayPal,2
12926,2018291,0,155,0,1823,7061,6499999999996,0,PayPal,2
12927,2018292,0,155,0,1422,6166,2799999999997,-1,Espèces,5
12928,2018293,0,158,0,565,1667,55,0,Carte bancaire,2
12929,2018294,0,133,0,894,3386,3499999999999,1,Virement bancaire,4
12930,2018295,0,176,0,813,2063,02,1,Espèces,4
12931,2018296,0,157,0,244,3362,6999999999998,-1,Virement bancaire,5
12932,2018297,0,159,0,69,2785,5799999999999,-1,Espèces,4
12933,2018298,0,159,0,554,6087,04,0,Virement bancaire,2
12934,2018299,0,0,0,1524,2489,3499999999999,1,Virement bancaire,2
12935,2018300,0,158,0,1809,3008,4099999999999,1,Virement bancaire,1
12936,2018301,0,43,0,796,4878,6700000000001,0,Virement bancaire,4
12937,2018302,0,0,0,793,2189,52,0,Virement bancaire,1
12938,2018303,0,159,0,879,2129,1799999999998,0,PayPal,2
12939,2018304,0,159,0,1175,749,79999999999995,1,Virement bancaire,3
12940,2018305,0,163,0,103,4756,96,0,Virement bancaire,1
12941,2018306,0,155,0,793,5416,79,0,Espèces,1
12942,2018307,0,43,0,1241,7096,6000000000004,0,Carte bancaire,1
12943,2018308,0,159,0,1713,4024,71,0,PayPal,2
12944,2018309,0,155,0,907,357,86000000000001,-1,Espèces,5
12945,2018310,0,163,0,444,5773,-1,Carte bancaire,3
12946,2018311,0,157,0,377,4844,8599999999997,-1,Espèces,5
12947,2018312,0,158,0,1067,6223,5900000000001,0,Carte bancaire,1
12948,2018313,0,163,0,1100,5340,1000000000004,-1,PayPal,1
12949,2018314,0,159,0,370,3821,6199999999999,0,Virement bancaire,1
12950,2018315,0,158,0,723,5560,1899999999996,0,Espèces,3
12951,2018316,0,158,0,1131,2375,1500000000001,1,PayPal,4
12952,2018317,0,158,0,1794,6453,2799999999997,1,PayPal,4
12953,2018318,0,158,0,650,2113,1900000000001,1,Carte bancaire,2
12954,2018319,0,43,0,1203,2184,79,1,Carte bancaire,2
12955,2018320,0,176,0,671,5132,9799999999996,1,Virement bancaire,3
12956,2018321,0,0,0,1773,2253,5500000000002,0,Virement bancaire,4
12957,2018322,0,159,0,1530,5834,7299999999996,0,Carte bancaire,3
12958,2018323,0,133,0,341,3061,9099999999999,-1,PayPal,5
12959,2018324,0,176,0,825,3296,3000000000002,0,Carte bancaire,1
12960,2018325,0,176,0,396,4653,9499999999998,1,PayPal,1
12961,2018326,0,133,0,583,5869,7600000000002,-1,PayPal,3
12962,2018327,0,157,0,1183,3975,1700000000001,-1,Virement bancaire,5
12963,2018328,0,157,0,1108,6793,0299999999997,-1,Espèces,4
12964,2018329,0,43,0,1450,4629,8699999999999,1,Espèces,3
12965,2018330,0,159,0,1596,1620,7,0,Carte bancaire,5
12966,2018331,0,158,0,436,2138,3400000000001,1,PayPal,2
12967,2018332,0,176,0,359,361,13,0,PayPal,4
12968,2018333,0,155,0,435,2964,0100000000002,0,Espèces,2
12969,2018334,0,176,0,93,7348,4399999999996,1,Virement bancaire,1
12970,2018335,0,176,0,1816,4002,4899999999998,-1,Carte bancaire,2
12971,2018336,0,158,0,592,5733,9300000000003,0,Virement bancaire,2
12972,2018337,0,163,0,966,3925,6399999999999,0,Espèces,4
12973,2018338,0,154,0,973,3177,21,-1,Virement bancaire,4
12974,2018339,0,163,0,511,6813,5100000000002,-1,Espèces,2
12975,2018340,0,176,0,852,1888,1900000000001,-1,Espèces,5
12976,2018341,0,163,0,1658,910,41999999999996,0,Virement bancaire,2
12977,2018342,0,163,0,853,6174,5200000000004,-1,PayPal,3
12978,2018343,0,158,0,1632,3919,6300000000001,0,Espèces,4
12979,2018344,0,157,0,450,2736,5100000000002,-1,Virement bancaire,2
12980,2018345,0,176,0,37,5876,4399999999996,0,Espèces,5
12981,2018346,0,157,0,552,2116,3099999999999,-1,Carte bancaire,4
12982,2018347,0,133,0,452,4186,1400000000003,0,Virement bancaire,4
12983,2018348,0,43,0,314,4767,5500000000002,1,Espèces,3
12984,2018349,0,158,0,1490,3164,8899999999999,0,Virement bancaire,1
12985,2018350,0,159,0,421,2313,-1,Espèces,3
12986,2018351,0,176,0,653,2577,25,1,Carte bancaire,5
12987,2018352,0,133,0,34,1139,03,-1,PayPal,4
12988,2018353,0,0,0,633,6653,29,0,Virement bancaire,1
12989,2018354,0,159,0,1573,4534,1599999999999,1,Virement bancaire,5
12990,2018355,0,159,0,389,3340,6399999999999,-1,Carte bancaire,2
12991,2018356,0,158,0,1624,5616,3199999999997,-1,Carte bancaire,5
12992,2018357,0,158,0,1425,3599,0300000000002,1,Virement bancaire,3
12993,2018358,0,163,0,1495,3066,8200000000002,1,Carte bancaire,1
12994,2018359,0,154,0,507,6588,6899999999996,0,Espèces,2
12995,2018360,0,158,0,1231,1863,5999999999999,-1,PayPal,4
12996,2018361,0,0,0,1481,4252,1599999999999,1,Carte bancaire,3
12997,2018362,0,176,0,350,4958,1599999999999,1,Virement bancaire,2
12998,2018363,0,159,0,1541,3917,6100000000001,1,PayPal,4
12999,2018364,0,154,0,979,1563,05,1,Virement bancaire,3
13000,2018365,0,159,0,963,1665,71,0,Virement bancaire,3
13001,2018366,0,0,0,1430,1468,8299999999999,-1,PayPal,2
13002,2018367,0,43,0,87,5707,7399999999998,0,Espèces,4
13003,2018368,0,133,0,1074,488,44,-1,Virement bancaire,3
13004,2018369,0,159,0,1544,3515,9000000000001,1,Virement bancaire,5
13005,2018370,0,158,0,262,7095,21,-1,Espèces,5
13006,2018371,0,0,0,437,5950,8999999999996,-1,Carte bancaire,4
13007,2018372,0,155,0,1502,1592,55,1,Virement bancaire,1
13008,2018373,0,154,0,256,2531,5100000000002,0,Carte bancaire,2
13009,2018374,0,43,0,1207,6009,71,0,Espèces,1
13010,2018375,0,158,0,1120,6732,8900000000003,1,PayPal,1
13011,2018376,0,154,0,1023,7288,5600000000004,1,PayPal,4
13012,2018377,0,43,0,903,378,5,-1,Espèces,2
13013,2018378,0,157,0,587,6235,8599999999997,-1,Carte bancaire,3
13014,2018379,0,158,0,303,1259,4100000000001,1,PayPal,2
13015,2018380,0,133,0,265,1016,1900000000001,0,Carte bancaire,4
13016,2018381,0,154,0,1167,2972,8800000000001,-1,Virement bancaire,1
13017,2018382,0,157,0,778,4408,1899999999996,-1,PayPal,5
13018,2018383,0,155,0,310,106,72,0,Virement bancaire,5
13019,2018384,0,43,0,952,646,66999999999996,-1,Carte bancaire,5
13020,2018385,0,155,0,564,7199,6999999999998,1,Espèces,3
13021,2018386,0,158,0,1355,2688,0,PayPal,3
13022,2018387,0,154,0,29,6785,1999999999998,-1,PayPal,1
13023,2018388,0,157,0,1078,2718,1700000000001,-1,PayPal,1
13024,2018389,0,133,0,1704,1460,78,1,Carte bancaire,3
13025,2018390,0,163,0,1767,954,25,0,PayPal,3
13026,2018391,0,163,0,895,5861,8000000000002,-1,PayPal,4
13027,2018392,0,157,0,1670,5366,4300000000003,0,PayPal,2
13028,2018393,0,155,0,883,1857,5599999999999,1,PayPal,2
13029,2018394,0,133,0,1515,1846,0799999999999,1,Carte bancaire,5
13030,2018395,0,176,0,1,5195,54,0,Carte bancaire,4
13031,2018396,0,43,0,333,2179,6199999999999,0,PayPal,1
13032,2018397,0,43,0,919,2961,3400000000001,1,Espèces,2
13033,2018398,0,176,0,1170,3220,6700000000001,1,Virement bancaire,1
13034,2018399,0,158,0,131,4899,7799999999997,0,Carte bancaire,2
13035,2018400,0,163,0,208,5480,3400000000001,0,Espèces,2
13036,2018401,0,158,0,750,2945,25,-1,Espèces,5
13037,2018402,0,157,0,1204,5858,3999999999996,1,PayPal,1
13038,2018403,0,159,0,192,6324,8699999999999,-1,Espèces,1
13039,2018404,0,0,0,1229,289,36000000000001,-1,Virement bancaire,3
13040,2018405,0,0,0,201,1848,6900000000001,-1,Carte bancaire,5
13041,2018406,0,0,6992049,373,3155,5100000000002,-1,PayPal,2
13042,2018407,1860,0,6992049,1017,192,90000000000001,0,Carte bancaire,2
13043,2018408,0,0,0,921,3027,6300000000001,1,Virement bancaire,3
13044,2018409,1883,0,6992036,1189,2015,28,0,Espèces,5
13045,2018199,1861,0,6992049,1126,6445,6000000000004,1,Carte bancaire,3
13046,2018410,1860,0,6992049,1704,4713,3199999999997,-1,Virement bancaire,5
13047,2018411,0,0,6992036,1129,6575,4300000000003,0,PayPal,2
13048,2018412,0,0,6992049,1783,1854,3800000000001,1,Espèces,2
13049,2018413,0,0,0,290,2532,2199999999998,-1,Carte bancaire,5
13050,2018414,1858,0,6992036,249,7003,3199999999997,-1,Virement bancaire,2
13051,2018415,1860,0,6992049,965,1294,4300000000001,0,Espèces,1
13052,2018416,0,0,6992049,576,4785,0799999999999,-1,Virement bancaire,1
13053,2018417,0,0,6992049,1058,1206,54,1,PayPal,2
13054,2018418,0,0,6992036,629,6649,9399999999996,0,Espèces,5
13055,2018419,1861,0,6992049,1325,116,18000000000001,-1,Virement bancaire,5
13056,2018420,1858,0,6992036,1710,6422,8100000000004,-1,Carte bancaire,2
13057,2018421,1883,0,6992036,485,1961,04,-1,PayPal,3
13058,2018422,1860,0,6992049,1589,2732,6500000000001,0,Virement bancaire,5
13059,2018423,0,0,6992036,1525,5887,9799999999996,-1,Espèces,4
13060,2018424,0,0,6992049,503,6342,9499999999998,1,Espèces,4
13061,2018425,1857,0,6992049,1700,5619,1499999999996,0,PayPal,4
13062,2018426,1869,0,6992036,878,862,22000000000003,0,Virement bancaire,2
13063,2018427,0,0,6992036,1135,929,28999999999996,0,Espèces,1
13064,2018428,1869,0,6992036,654,1008,87,0,Virement bancaire,4
13065,2018429,0,0,6992049,680,3694,6599999999999,1,Espèces,2
13066,2018430,0,0,6992049,391,4718,6599999999999,1,Virement bancaire,2
13067,2018431,0,0,6992049,1379,6832,2200000000003,1,Espèces,2
13068,2018432,1877,0,6992036,274,4543,2200000000003,1,Espèces,5
13069,2018433,1876,0,6992036,1703,2429,7800000000002,1,Espèces,2
13070,2018434,1858,0,6992036,501,1854,1800000000001,-1,Espèces,4
13071,2018435,0,0,6992049,1063,3264,4200000000001,-1,Virement bancaire,4
13072,2018436,1883,0,6992036,290,2573,73,-1,PayPal,1
13073,2018437,1858,0,6992036,1111,5734,8800000000001,0,PayPal,4
13074,2018438,1876,0,6992036,19,1227,22,1,Carte bancaire,2
13075,2018439,1861,0,6992049,565,752,26999999999998,0,Virement bancaire,2
13076,2018440,1860,0,6992049,1560,3368,0100000000002,-1,PayPal,1
13077,2018441,1857,0,6992049,313,2820,0100000000002,-1,Virement bancaire,2
13078,2018442,0,0,6992036,18,1195,78,0,Carte bancaire,3
13079,2018443,1873,0,6992036,315,6929,0699999999997,-1,PayPal,2
13080,2018444,0,0,6992049,238,168,41999999999999,-1,Virement bancaire,1
13081,2018445,0,0,6992036,1723,2299,9200000000001,0,Espèces,1
13082,2018446,1857,0,6992049,1358,1519,0599999999999,1,PayPal,5
13083,2018447,1858,0,6992036,1018,4692,04,0,Espèces,1
13084,2018448,1873,0,6992036,1332,4362,96,-1,PayPal,3
13085,2018449,1873,0,6992036,1599,1685,48,-1,Virement bancaire,2
13086,2018450,1876,0,6992036,1619,2095,5700000000002,-1,Carte bancaire,1
13087,2018451,1857,0,6992049,1745,959,17999999999995,0,Virement bancaire,3
13088,2018452,0,0,6992036,398,6016,3699999999999,1,Carte bancaire,4
13089,2018453,0,0,6992036,146,5507,9200000000001,-1,Espèces,2
13090,2018454,1873,0,6992036,1037,3317,8499999999999,0,PayPal,3
13091,2018455,1877,0,6992036,543,4467,2299999999996,-1,Espèces,1
13092,2018456,1858,0,6992036,1716,6120,4499999999998,1,PayPal,2
13093,2018457,1858,0,6992036,1462,4727,1400000000003,-1,PayPal,4
13094,2018458,1873,0,6992036,1192,2949,21,0,PayPal,5
13095,2018459,1861,0,6992049,1234,4363,5,0,Virement bancaire,5
13096,2018460,1873,0,6992036,1052,4928,1700000000001,1,Carte bancaire,1
13097,2018461,0,0,6992036,398,2484,1100000000001,-1,Carte bancaire,5
13098,2018462,1876,0,6992036,204,5173,7799999999997,1,PayPal,3
13099,2018463,0,0,6992036,801,6874,3900000000003,-1,PayPal,4
13100,2018464,1869,0,6992036,524,2108,9299999999998,-1,Virement bancaire,1
13101,2018465,0,0,6992049,187,1098,29,1,PayPal,4
13102,2018466,0,0,6992049,647,3201,3000000000002,0,Espèces,4
13103,2018467,0,0,6992049,199,7138,8699999999999,1,PayPal,4
13104,2018468,1876,0,6992036,968,4151,6000000000004,1,Carte bancaire,1
13105,2018469,0,0,6992049,99,5177,8800000000001,0,Carte bancaire,2
13106,2018470,1876,0,6992036,1168,875,08000000000004,1,PayPal,2
13107,2018471,1861,0,6992049,1400,4444,4799999999996,-1,Virement bancaire,5
13108,2018472,1877,0,6992036,770,2339,48,-1,Virement bancaire,2
13109,2018473,1860,0,6992049,1397,4279,1899999999996,0,PayPal,2
13110,2018474,1877,0,6992036,1082,4114,7299999999996,-1,Carte bancaire,1
13111,2018475,1860,0,6992049,1327,4240,8299999999999,-1,Virement bancaire,3
13112,2018476,1858,0,6992036,1070,6771,1099999999997,0,Virement bancaire,5
13113,2018477,1857,0,6992049,310,7155,1800000000003,1,Espèces,4
13114,2018478,1860,0,6992049,685,4800,4700000000003,1,Virement bancaire,1
13115,2018479,0,0,6992049,1207,3029,8400000000001,1,Carte bancaire,3
13116,2018480,0,0,0,190,992,41999999999996,-1,PayPal,3
13117,2018481,1877,0,6992036,1097,4282,1400000000003,-1,Carte bancaire,5
13118,2018482,0,0,6992049,526,5204,6899999999996,0,Carte bancaire,1
13119,2018483,1876,0,6992036,1038,1826,3,0,Virement bancaire,2
13120,2018484,0,0,6992049,926,3231,9099999999999,1,PayPal,2
13121,2018485,1858,0,6992036,1387,3531,77,1,Carte bancaire,5
13122,2018486,1873,0,6992036,282,6332,8000000000002,1,Carte bancaire,1
13123,2018487,1869,0,6992036,250,697,80999999999995,1,Carte bancaire,2
13124,2018488,1857,0,6992049,377,2865,3400000000001,0,Virement bancaire,3
13125,2018489,1877,0,6992036,1749,5988,1899999999996,0,Espèces,5
13126,2018490,0,0,0,1368,2479,4899999999998,0,Carte bancaire,4
13127,2018491,1877,0,6992036,345,7060,8599999999997,0,Espèces,3
13128,2018492,1861,0,6992049,1457,3714,9099999999999,1,PayPal,2
13129,2018493,0,0,6992049,92,2720,48,1,Espèces,4
13130,2018494,0,0,0,1578,1364,72,-1,Virement bancaire,2
13131,2018495,0,0,6992036,683,4468,3500000000004,-1,Virement bancaire,4
13132,2018496,1869,0,6992036,684,3202,0500000000002,0,Virement bancaire,1
13133,2018497,0,0,0,1731,4860,5,0,Virement bancaire,2
13134,2018498,1857,0,6992049,1148,4456,3100000000004,-1,Virement bancaire,4
13135,2018499,0,0,6992036,1520,4697,8999999999996,1,Carte bancaire,5
13136,2018500,1869,0,6992036,99,7183,1099999999997,-1,Espèces,2
13137,2018501,1858,0,6992036,1287,3647,8600000000001,1,Virement bancaire,4
13138,2018502,1858,0,6992036,886,4872,4399999999996,0,Carte bancaire,4
13139,2018503,1869,0,6992036,1471,3122,71,-1,PayPal,5
13140,2018504,1877,0,6992036,1700,5659,6999999999998,-1,PayPal,2
13141,2018505,0,0,6992049,938,5233,04,-1,Carte bancaire,5
13142,2018506,0,0,6992036,1463,5543,0500000000002,1,Virement bancaire,3
13143,2018507,0,0,0,894,376,89999999999998,1,Carte bancaire,2
13144,2018508,1869,0,6992036,518,1446,53,0,Carte bancaire,4
13145,2018509,0,0,6992036,568,5716,5200000000004,1,Espèces,3
13146,2018510,1876,0,6992036,355,4661,8500000000004,1,PayPal,5
13147,2018511,0,0,0,421,1537,6300000000001,1,Carte bancaire,1
13148,2018512,1883,0,6992036,381,551,09000000000003,0,Virement bancaire,5
13149,2018513,0,0,6992036,48,4053,79,0,Virement bancaire,3
13150,2018514,0,0,6992036,738,3316,9099999999999,1,PayPal,1
13151,2018515,1861,0,6992049,1695,6945,6800000000003,-1,PayPal,3
13152,2018516,1877,0,6992036,1041,1721,6099999999999,1,Carte bancaire,4
13153,2018517,1861,0,6992049,1128,1616,78,0,PayPal,5
13154,2018518,0,0,6992036,559,6953,3500000000004,0,Virement bancaire,1
13155,2018519,0,0,6992049,343,6583,5900000000001,1,Espèces,1
13156,2018520,1858,0,6992036,1066,1064,4100000000001,0,PayPal,2
13157,2018521,1861,0,6992049,1372,3786,6599999999999,0,Virement bancaire,5
13158,2018522,0,0,0,148,1622,1700000000001,1,Carte bancaire,4
13159,2018523,1877,0,6992036,35,1002,74,0,PayPal,5
13160,2018524,0,0,0,365,3757,0300000000002,-1,PayPal,1
13161,2018525,1861,0,6992049,938,5800,8699999999999,-1,Espèces,2
13162,2018526,1857,0,6992049,1586,3993,8699999999999,1,Espèces,4
13163,2018527,1860,0,6992049,291,4685,25,-1,Espèces,1
13164,2018528,1858,0,6992036,445,3807,4899999999998,1,Espèces,3
13165,2018529,0,0,6992036,1761,4389,4200000000001,-1,PayPal,2
13166,2018530,0,0,6992036,1775,256,20999999999998,1,Virement bancaire,4
13167,2018531,0,0,6992036,1039,5123,1199999999999,1,Espèces,1
13168,2018532,1857,0,6992049,328,356,44,0,PayPal,1
13169,2018533,0,0,6992049,681,6662,4799999999996,0,PayPal,5
13170,2018534,1877,0,6992036,1085,4944,3000000000002,0,Virement bancaire,5
13171,2018535,0,0,6992036,1824,6723,5200000000004,-1,Carte bancaire,1
13172,2018536,1858,0,6992036,668,486,5,0,PayPal,1
13173,2018537,1858,0,6992036,1731,2235,5700000000002,1,Carte bancaire,3
13174,2018538,1861,0,6992049,215,151,46000000000001,0,Virement bancaire,4
13175,2018539,0,0,0,397,290,33999999999997,0,Espèces,1
13176,2018540,1876,0,6992036,1195,5447,1599999999999,1,Virement bancaire,2
13177,2018541,1860,0,6992049,555,1755,26,-1,Carte bancaire,3
13178,2018542,1861,0,6992049,1531,1915,1900000000001,0,Espèces,4
13179,2018543,0,0,6992049,762,1588,05,0,Espèces,5
13180,2018544,0,0,6992049,93,5567,1800000000003,0,PayPal,2
13181,2018545,1860,0,6992049,294,2770,6999999999998,0,Espèces,2
13182,2018546,0,0,6992036,1753,4291,6700000000001,0,PayPal,4
13183,2018547,0,0,6992036,840,2873,6100000000001,-1,Espèces,5
13184,2018548,1857,0,6992049,1696,5941,96,1,Espèces,2
13185,2018549,1876,0,6992036,756,3145,98,-1,Virement bancaire,3
13186,2018550,0,0,6992049,55,5660,7600000000002,-1,Espèces,1
13187,2018368,1858,0,6992036,1046,4665,96,-1,PayPal,4
13188,2018551,1860,0,6992049,1174,4899,1599999999999,-1,PayPal,5
13189,2018552,0,0,6992036,580,2795,8699999999999,-1,Virement bancaire,4
13190,2017992,1858,0,6992036,463,7077,1400000000003,1,PayPal,3
13191,2018553,1883,0,6992036,133,328,13999999999999,0,Espèces,3
13192,2018554,1873,0,6992036,1455,4295,4899999999998,1,Carte bancaire,2
13193,2018555,0,0,6992049,1063,899,36000000000001,-1,Carte bancaire,3
13194,2018556,1876,0,6992036,689,5197,5,-1,Virement bancaire,1
13195,2018557,1861,0,6992049,765,6114,0799999999999,-1,Carte bancaire,4
13196,2018558,1858,0,6992036,1663,2438,1599999999999,0,PayPal,1
13197,2018559,1861,0,6992049,1208,2850,6700000000001,0,Carte bancaire,1
13198,2018560,1873,0,6992036,1739,4544,21,0,Carte bancaire,5
13199,2018561,1857,0,6992049,1468,4812,8800000000001,1,Espèces,1
13200,2018562,1876,0,6992036,1615,4920,9799999999996,-1,Espèces,4
13201,2018563,1858,0,6992036,1001,6630,0200000000004,1,Espèces,4
13202,2018564,1877,0,6992036,6,4042,27,-1,PayPal,1
13203,2018565,1861,0,6992049,1689,7278,3299999999999,1,Virement bancaire,4
13204,2018566,1876,0,6992036,687,4198,9300000000003,0,Carte bancaire,4
13205,2018567,1883,0,6992036,1404,5937,1499999999996,0,Virement bancaire,1
13206,2018568,0,0,6992049,1520,919,97000000000003,1,PayPal,5
13207,2018569,1857,0,6992049,43,6902,5200000000004,-1,PayPal,1
13208,2018570,1857,0,6992049,197,5678,4399999999996,0,Virement bancaire,3
13209,2018571,1860,0,6992049,66,3000,1100000000001,1,PayPal,4
13210,2018572,1861,0,6992049,659,2837,6900000000001,1,Virement bancaire,1
13211,2018573,1876,0,6992036,20,6327,1000000000004,1,Virement bancaire,3
13212,2018574,0,0,6992049,704,6437,5799999999999,1,Espèces,2
13213,2018575,1873,0,6992036,1205,6070,3000000000002,-1,Virement bancaire,4
13214,2018576,0,0,6992049,358,3703,29,1,Virement bancaire,2
13215,2018577,1883,0,6992036,1732,3723,3400000000001,1,Virement bancaire,3
13216,2018578,0,0,6992049,459,4405,5299999999997,-1,Espèces,4
13217,2018579,1860,0,6992049,542,653,88,0,Carte bancaire,5
13218,2018580,1869,0,6992036,661,5594,21,1,PayPal,2
13219,2018581,0,0,6992036,718,6600,0600000000004,0,PayPal,3
13220,2018582,1860,0,6992049,345,2057,21,1,PayPal,1
13221,2018583,1883,0,6992036,1478,153,40000000000001,-1,PayPal,5
13222,2018584,0,0,6992049,1050,535,15999999999997,-1,Virement bancaire,5
13223,2018585,0,0,6992049,758,1698,01,0,Carte bancaire,4
13224,2018586,1876,0,6992036,958,6257,6999999999998,1,PayPal,1
13225,2018587,1873,0,6992036,879,3315,96,0,PayPal,5
13226,2018588,0,0,0,475,3987,9699999999998,-1,Virement bancaire,4
13227,2018589,1858,0,6992036,541,7382,79,-1,Virement bancaire,3
13228,2018590,0,0,0,7,1104,3099999999999,1,Espèces,4
13229,2018591,1869,0,6992036,1705,2773,0599999999999,0,Espèces,2
13230,2018592,1876,0,6992036,255,6457,3800000000001,-1,Virement bancaire,3
13231,2018593,1876,0,6992036,224,1159,6300000000001,-1,Carte bancaire,3
13232,2018594,1860,0,6992049,96,6351,2700000000004,1,Virement bancaire,5
13233,2018595,1858,0,6992036,125,4346,9499999999998,-1,Virement bancaire,5
13234,2018596,0,0,6992049,845,4818,7299999999996,1,PayPal,2
13235,2018597,1883,0,6992036,177,2319,4200000000001,0,Carte bancaire,4
13236,2018598,1857,0,6992049,1121,3889,96,1,Carte bancaire,2
13237,2018599,0,0,6992049,589,1953,3900000000001,-1,Carte bancaire,3
13238,2018600,1883,0,6992036,1114,6631,8699999999999,-1,Espèces,4
13239,2018601,1877,0,6992036,765,702,32000000000005,0,Espèces,1
13240,2018602,0,0,6992036,1808,7451,-1,Espèces,4
13241,2018603,1883,0,6992036,1702,4008,4699999999998,0,PayPal,5
13242,2018604,1861,0,6992049,534,5850,5100000000002,1,Virement bancaire,4
13243,2018605,0,0,6992049,1136,1861,9200000000001,1,PayPal,1
13244,2018606,1860,0,6992049,545,5106,8900000000003,-1,Virement bancaire,2
13245,2018607,1861,0,6992049,84,3146,9099999999999,-1,Espèces,2
13246,2018608,0,0,6992036,297,6011,8299999999999,0,Virement bancaire,1
13247,2018609,1877,0,6992036,191,6234,5,1,PayPal,3
13248,2018610,1877,0,6992036,1418,219,22999999999999,-1,Carte bancaire,3
13249,2018611,0,0,6992036,110,4183,2299999999996,1,PayPal,1
13250,2018612,1860,0,6992049,1055,4712,0699999999997,1,Carte bancaire,1
13251,2018613,0,0,0,798,3785,2800000000002,-1,Virement bancaire,5
13252,2018614,0,0,6992036,1505,2569,1900000000001,1,PayPal,3
13253,2018615,1869,0,6992036,907,2674,8200000000002,0,Carte bancaire,5
13254,2018616,1883,0,6992036,368,5711,46,1,Carte bancaire,5
13255,2018617,0,0,6992036,726,6173,8800000000001,1,PayPal,3
13256,2018618,0,0,6992036,1057,3206,6100000000001,-1,Espèces,3
13257,2018619,1869,0,6992036,515,7206,7799999999997,1,Espèces,5
13258,2018620,0,0,6992049,991,6115,3699999999999,-1,PayPal,5
13259,2018621,0,0,0,139,1422,96,0,PayPal,3
13260,2018622,0,0,0,1470,115,38,1,Carte bancaire,3
13261,2018623,1876,0,6992036,1135,6546,0900000000001,-1,Virement bancaire,2
13262,2018624,1873,0,6992036,484,3157,46,-1,PayPal,1
13263,2018625,1869,0,6992036,151,1757,8199999999999,1,PayPal,4
13264,2018626,0,0,6992036,1191,855,09000000000003,-1,Carte bancaire,3
13265,2018627,0,0,0,7,4721,1700000000001,-1,PayPal,4
13266,2018628,1869,0,6992036,1014,3015,9200000000001,0,Espèces,4
13267,2018629,0,0,6992049,1523,4485,4399999999996,1,Virement bancaire,1
13268,2018630,1877,0,6992036,1147,7282,1099999999997,-1,Virement bancaire,4
13269,2018631,1857,0,6992049,755,3517,0,PayPal,2
13270,2018632,1857,0,6992049,498,3381,0900000000001,0,Espèces,5
13271,2018633,0,0,6992036,1521,4664,5900000000001,-1,Virement bancaire,5
13272,2018634,1861,0,6992049,739,6114,29,0,Espèces,1
13273,2018635,0,0,6992036,460,2975,6599999999999,0,Carte bancaire,4
13274,2018636,1877,0,6992036,842,3641,7199999999998,1,PayPal,1
13275,2018637,1876,0,6992036,1727,396,32999999999998,0,Carte bancaire,3
13276,2018638,0,0,6992049,1680,4149,2399999999998,1,Espèces,5
13277,2018639,1860,0,6992049,311,7242,04,-1,Virement bancaire,2
13278,2018640,1883,0,6992036,1395,2467,0599999999999,1,Virement bancaire,5
13279,2018641,0,0,6992036,1531,2046,1600000000001,0,Espèces,4
13280,2018642,0,0,6992049,616,3482,8800000000001,-1,Virement bancaire,2
13281,2018643,1857,0,6992049,1554,3553,9299999999998,0,Carte bancaire,2
13282,2018644,1857,0,6992049,1583,6186,7399999999998,-1,PayPal,2
13283,2018645,0,0,6992049,1718,128,46000000000001,1,Espèces,3
13284,2018646,1860,0,6992049,52,934,88999999999999,-1,Virement bancaire,2
13285,2018647,1869,0,6992036,1373,3675,4200000000001,0,PayPal,2
13286,2018648,0,0,6992049,1277,2118,3800000000001,0,Virement bancaire,3
13287,2018649,1876,0,6992036,157,6934,1099999999997,1,PayPal,1
13288,2018650,0,0,0,1716,773,27999999999997,-1,Carte bancaire,5
13289,2018651,0,0,6992036,44,5519,4799999999996,-1,Carte bancaire,4
